,
,
,Monday (Workshops),,,Colour Legend
Early
,
,
,
,
,
Late
,
,
,
,
,
,
,
,Tuesday
,In-Person,,,,,Online
Early,SEL MAT 8A,SEL ENG 8A,SEL MAT 8B,SEL MAT 7A,,SEL MAT 8J,SEL MAT 6A,SEL MAT 6B
,Testing Tw,David M,Ethan B,Testing Fo,,Firstname L,Firstname L,Noah B
,5:00 - 6:30 pm,5:00 - 7:00 pm,5:00 - 6:30 pm,5:00 - 6:30 pm,,5:00 - 6:30 pm,5:00 - 6:30 pm,5:00 - 6:30 pm
,201,205,206,207,,Online,Online,Online
,Normal 8,Normal 8,Normal 8,Normal 7,,Normal 8,Normal 6,Normal 6
,French M,Jackson J,Ethan M,Hamburger E,,Lucas Mar,Aiden Dav,Jackson D
,Chinese C,Ethan B,Trash C,,,Jackson Joh,Liam Dav,
,Lucas Bro,Noah M,Liam Joh,,,Ethan Bro,Jackson Dav,
,Ethan Mar,Aiden J,Test S,,,Noah Mar,Aiden D,
,Lucas M,Lucas B,,,,Aiden Joh,Liam D,
Late,SEL MAT 8C,SEL MAT 8D,SEL ENG 8B,,SEL MAT 8E,SEL MAT 8K,SEL MAT 7C,SEL ENG 7B,SEL MAT 8L
,Testing Tw,Alice J,Helen A,,Jackson J,Firstname L,Firstname L,Testing O,Lucas M
,7:00 - 8:30 pm,7:00 - 8:30 pm,7:00 - 9:00 pm,,7:00 - 8:30 pm,7:00 - 8:30 pm,7:00 - 8:30 pm,7:00 - 9:00 pm,7:00 - 8:30 pm
,201,205,206,,208,Online,Online,Online,Online
,Normal 8,Normal 8,Normal 8,,Normal 8,Normal 8,Normal 7,Normal 7,Normal 8
,Skiing F,Olivia Wil,Isabella W,,Olivia S,Mia M,Clarence T,Hamburger E,Mia A
,Olivia Smi,Sophia Smi,Mia A,,Emma M,Olivia W,,,
,Emma Mil,Ava Mil,,,Sophia W,Emma A,,,
,Ava And,Isabella Wil,,,Ava A,Sophia S,,,
,Mia Mil,Mia And,,,Isabella S,Ava M,,,
,
,
,Wednesday
,In-Person,,,,,Online
Early,SEL ENG 6A,SEL ENG 8C,SEL ENG 8D,SEL ENG 7A,
,Bob S,Frank W,Mia M,Testing O,
,5:00 - 7:00 pm,5:00 - 7:00 pm,5:00 - 7:00 pm,5:00 - 7:00 pm,
,201,205,206,207,
,Normal 6,Normal 8,Normal 8,Normal 7,
,Liam Dav,Isabella Smi,Isabella S,Cheese H,
,Jackson Dav,Mia Mil,Emma A,Clarence T,
,Aiden D,Sophia Smi,Ava M,,
,Liam D,Mia And,Mia A,,
,Jackson D,Emma M,,,
Late,SEL MAT 8F,SEL MAT 8G,,,,SEL ENG 8M
,Charlie B,Aiden D,,,,Testing T
,7:00 - 8:30 pm,7:00 - 8:30 pm,,,,7:00 - 9:00 pm
,201,205,,,,Online
,Normal 8,Normal 8,,,,Normal 8
,Sophia Wil,Lucas B,,,,French M
,Noah B,Isabella W,,,,Chinese C
,Trevor T,,,,,Sophia Wil
,Liam J,,,,,Jackson Joh
,Noah Bro,,,,,Noah B
,
,
,Thursday
,In-Person,,,,,Online
Early,SEL ENG 8E,SEL ENG 8F,SEL MAT 7B,SEL ENG 6B,
,Frank W,Isabella S,Charlie B,David M,
,5:00 - 7:00 pm,5:00 - 7:00 pm,5:00 - 6:30 pm,5:00 - 7:00 pm,
,201,205,206,207,
,Normal 8,Normal 8,Normal 7,Normal 6,
,Isabella Wil,Sophia W,Cheese H,Aiden Dav,
,Liam J,Jackson J,,,
,Ava Mil,Mia M,,,
,Olivia Wil,Olivia W,,,
,Aiden Joh,Aiden J,,,
Late,SEL ENG 8G,SEL ENG 8H,SEL ENG 8I,SEL MAT 8H,SEL ENG 8J
,Testing F,Testing O,Olivia S,Eva D,Ava A
,7:00 - 9:00 pm,7:00 - 9:00 pm,7:00 - 9:00 pm,7:00 - 8:30 pm,7:00 - 9:00 pm
,201,205,206,207,208
,Normal 8,Normal 8,Normal 8,Normal 8,Normal 8
,Isabella Smi,Skiing F,Olivia Smi,Isabella Smi,Sophia S
,Emma And,Noah Bro,Noah Mar,Isabella S,Lucas B
,Lucas Bro,Olivia S,Ethan Mar,Ethan B,Ethan M
,Noah B,Lucas Mar,Lucas M,Noah M,Mia A
,Noah Bro,Ava And,Ava A,Emma A,Test S
,
,
,Friday
,In-Person,,,,,Online
Early,SEL MAT 8I,SEL ENG 8K,,,
,Alice J,Sophia W,,,
,5:00 - 6:30 pm,5:00 - 7:00 pm,,,
,201,205,,,
,Normal 8,Normal 8,,,
,Emma And,Mia A,,,
,Jackson J,Liam Joh,,,
,Isabella S,Trash C,,,
,Emma A,,,,
,Aiden J,,,,
Late,SEL ENG 8L,,,,
,Sophia W,,,,
,7:00 - 9:00 pm,,,,
,201,,,,
,Normal 8,,,,
,Sophia Wil,,,,
,Noah Bro,,,,
,Emma Mil,,,,
,Trevor T,,,,
,Ethan Bro,,,,
,
,
,Saturday
,In-Person,,,,,Online
Early,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Late,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
